norm_addr,raw_addr,lon,lat,score,source,ts
158번지,158번지,,,0.0,kakao,2025-10-04 16:12:32.188106+00:00
강남구 개포1동 660번지,강남구 개포1동 660번지,,,0.0,kakao,2025-10-04 16:01:21.959123+00:00
강남구 개포2동 138번지 외,강남구 개포2동 138번지 외,,,0.0,kakao,2025-10-04 16:01:18.813174+00:00
강남구 개포동 140-0,강남구 개포동 140-0,,,0.0,kakao,2025-10-04 16:01:49.399462+00:00
강남구 개포동 185,강남구 개포동 185,,,0.0,kakao,2025-10-04 16:01:45.174500+00:00
강남구 개포동 187,강남구 개포동 187,,,0.0,kakao,2025-10-04 16:01:34.617198+00:00
강남구 개포동 189번지,강남구 개포동 189번지,,,0.0,kakao,2025-10-04 16:01:36.729694+00:00
강남구 개포동 656-3,강남구 개포동 656-3,,,0.0,kakao,2025-10-04 16:01:46.227054+00:00
강남구 개포동 658-1,강남구 개포동 658-1,,,0.0,kakao,2025-10-04 16:01:47.283548+00:00
강남구 논현동 191-4,강남구 논현동 191-4,,,0.0,kakao,2025-10-04 16:01:51.508654+00:00
강남구 논현로36길 21 2층,강남구 논현로36길 21 2층,,,0.0,kakao,2025-10-04 16:01:16.704577+00:00
강남구 대치동 316번지,강남구 대치동 316번지,,,0.0,kakao,2025-10-04 16:01:35.672825+00:00
강남구 대치동 63-0,강남구 대치동 63-0,,,0.0,kakao,2025-10-04 16:01:31.455998+00:00
강남구 대치동 65,강남구 대치동 65,,,0.0,kakao,2025-10-04 16:01:43.059309+00:00
강남구 대치동 66번지,강남구 대치동 66번지 ,,,0.0,kakao,2025-10-04 16:01:40.945654+00:00
강남구 대치동 963번지,강남구 대치동 963번지,,,0.0,kakao,2025-10-04 16:01:27.231473+00:00
강남구 대치동 964번지,강남구 대치동 964번지,,,0.0,kakao,2025-10-04 16:01:39.890756+00:00
강남구 도곡동 465-0,강남구 도곡동 465-0,,,0.0,kakao,2025-10-04 16:01:50.452646+00:00
강남구 도곡동 540번지 일대,강남구 도곡동 540번지 일대,,,0.0,kakao,2025-10-04 16:01:33.560020+00:00
강남구 도곡동 869,강남구 도곡동 869(논현로218),,,0.0,kakao,2025-10-04 16:01:17.760612+00:00
강남구 도곡동 934-10,강남구 도곡동 934-10,,,0.0,kakao,2025-10-04 16:01:48.337349+00:00
강남구 삼성동 19-4,강남구 삼성동 19-4,,,0.0,kakao,2025-10-04 16:01:19.861731+00:00
강남구 삼성로72길 49,강남구 삼성로72길 49,,,0.0,kakao,2025-10-04 16:01:42.006041+00:00
