full_address,자치구,대표지번,lon,lat,geocode_error,사업번호,법정동,사업구분,운영구분,추진위원회/조합명,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고,위치도,조감도,배치도,조합사무실 주소,조합사무실 전화번호
서울특별시 마포구 아현동 613-10,마포구,아현동 613-10,126.9557683,37.55269418,,11440-100003003,아현동,재개발(도시정비형),조합,마포로3구역제3지구 도시환경정비사업조합,착공신고,운영,147,마포로3구역 제3지구 도시환경정비구역,마포구 아현동 613-10,6217.32,40744.88,준주거지역,방화지구 중심미관지구(일부),6217.32,847.53,,369.5,,,2117.03,공동주택/판매시설,52.52,516.35,63,20,4,239,88,151,,0,,,,,/servlet/image/assc/2010/09/201009281514051285654445709.jpg,/servlet/image/assc/2020/11/202011201130451605839445788.jpg,/servlet/image?url=images/assc/2024/11/202411131454571731477297752.jpg,혜성아파트 104호,02-362-3411
서울특별시 마포구 아현동 635,마포구,아현동 635,,,NO_RESULT,11440-100005000,아현동,재개발(주택정비형),조합,아현3구역 주택재개발정비사업 조합(뉴타운),조합해산,운영,0,아현 제3구역 주택재개발정비사업,마포구 아현동 635번지,207508.3,5824773.86,제2종 일반주거지역,주택재개발구역,146506.7,254019,1335.71,52416.51,3184.3,3197.6,361.3,"공동주택,근생 및 사회복지시설,종교시설,정비기반시설등",22.63,259.42,95,30,4,3209,1239,1455,515,658,327,331,,,/servlet/image/assc/2011/06/201106221645191308728719468.jpg,/servlet/image/assc/2011/09/201109011545021314859502784.jpg,/servlet/image/assc/2011/07/201107181444101310967850817.jpg,보성빌딩 2층,02-312-2335
서울특별시 마포구 염리동 507,마포구,염리동 507,,,NO_RESULT,11440-100005004,염리동,재개발(주택정비형),조합,염리제3구역주택재개발정비사업조합(뉴타운),조합해산,운영,1105,염리제3 주택재개발정비사업,마포구 염리동 507번지 일원,87952.2,878.4,제2종 일반주거지역,,63954.7,13579.7,5014.4,,2713.2,,2690.2,공동주택,20.16,250.28,77,27,3,1386,606,762,18,285,122,115,48,,/servlet/image/assc/2011/11/201111171310351321503035559.jpg,/servlet/image/assc/2017/11/201711201408571511154537897.jpg,/servlet/image?url=images/assc/2021/01/202101121607541610435274806.jpg,골드빌딩 2층,02-712-4524
서울특별시 강서구 마곡동 725-1,강서구,마곡동 725-1,126.8178338,37.56403108,,11500-100002011,마곡동,재건축,조합,긴등마을주택재건축정비사업조합,준공인가,운영,246,긴등마을 주택재건축 아파트 신축공사,강서구 공항동 4-8,316.68,100291.3,제2종 일반주거지역,일반 미관지구,3809,1980,1502,327,,,,주거,26.31,239.59,,15,2,603,158,393,52,59,,,59,,/servlet/image/assc/2010/04/201004141157071271213827987.jpg,/servlet/image/assc/2014/01/201401221736121390379772406.jpg,/servlet/image/assc/2014/11/201411171359311416200371911.jpg,6층,02-2665-0133
서울특별시 구로구 개봉동 454-14,구로구,개봉동 454-14,126.8547187,37.50109618,,11530-900000006,개봉동,재건축,조합,개봉3 재건축정비사업조합,조합설립인가,운영,687,개봉3재건축정비사업,구로구 개봉동 454-14,116473,291302.29,1종2종일반주거지역 혼합,공항고도지구,79601.5,14059.8,18460.3,,,,4351.4,공동주택및부대복리시설,23.08,249.84,97,24,3,1705,323,1096,286,23,,,23,,/servlet/image/assc/2013/06/201306241907281372068448348.jpg,/servlet/image/assc/2013/06/201306241922241372069344393.jpg,/servlet/image/assc/2013/06/201306241918261372069106184.jpg,"서울특별시 구로구 경인로 323, 3층 (개봉동)",02-2060-4980
서울특별시 구로구 개봉동 68-64,구로구,개봉동 68-64,126.846658,37.49961645,,11530-900000067,개봉동,재건축,조합,개봉5구역 주택재건축정비사업조합,착공신고,운영,124,개봉제5 주택재건축 정비사업 조합,구로구 개봉1동 68번지,13099.1,48915.9,제3종일반주거지역,일반상업지구,10175,2224.04,564.21,,,,135.85,공동주택및 부대복리시설,21.96,299.97,80,24,3,276,148,126,2,33,,5,28,,/servlet/image/assc/2014/09/201409181420061411017606858.bmp,/servlet/image/assc/2018/05/201805281522141527488534657.jpg,/servlet/image/assc/2018/05/201805281522511527488571805.jpg,예성라온팰리스 103동 206호,02-2615-1942
서울특별시 영등포구 영등포동7가 76-5,영등포구,영등포동7가 76-5,126.9056453,37.52449347,,11560-100004012,영등포동,재개발(도시정비형),조합,영등포1-2재정비촉진구역 도시환경정비사업 조합,사업시행인가,운영,17,영등포1의2재정비촉진구역 도시환경정비사업,영등포구 영등포동7가 76-5번지,5392,,일반상업지역 준주거지역,중심지미관지구,3930.4,1461.6,0,0,0,0,0,판매근린생활업무주거,52,610,120,34,6,149,149,,,69,,31,38,사업시행인가 전,/servlet/image/assc/2011/11/201111211137251321843045122.jpg,/servlet/image?url=images/assc/2024/05/202405091144411715222681888.jpg,/servlet/image?url=images/assc/2024/05/202405091144441715222684167.jpg,"서울특별시 영등포구 국회대로50길 20, 103동 808호 (영등포동7가, 포레나 영등포 센트럴)",02-2675-7743
서울특별시 영등포구 양평동1가 9-6,영등포구,양평동1가 9-6,,,NO_RESULT,11560-100004033,양평동,재개발(도시정비형),추진위원회,67. 양평제10구역 도시환경정비사업 조합설립추진위원회,조합설립추진위원회승인,운영,81,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
서울특별시 중랑구 망우동 509-1,중랑구,망우동 509-1,127.0948254,37.59738984,,11260-900001288,망우동,가로주택정비,조합,망우동 509의1 가로주택정비사업,조합설립인가,운영,69,망우동 509의1 가로주택정비사업,중랑구 망우동 509-1,7564.6,30094.52,도시지역,제2종일반주거지역,,,,,,,,공동주택 및 근린생활시설,30.98,249.6,,15,2,164,78,86,,42,,42,,,/servlet/image?url=images/assc/2025/03/202503241203331742785413453.png,/servlet/image?url=images/assc/2025/04/202504041221481743736908594.png,/servlet/image?url=images/assc/2025/03/202503241204281742785468046.png,"서울특별시 중랑구 봉우재로71길 73-5, 1층 가로주택정비사업조합 사무실 (망우동)",02-439-9905
서울특별시 강동구 고덕동 470,강동구,고덕동 470,127.1449384,37.55880507,,11740-900001289,고덕동,소규모재건축,조합,고덕대우아파트 소규모재건축사업,조합설립인가,운영,100,고덕대우아파트 소규모재건축사업,강동구 고덕동 470-0,6462.9,29907.53,제3종일반주거지역,지구단위계획구역(고덕택지지구),6414.4,48.5,,,,,,공동주택및부대복리시설근린생활시설,22.59,299.86,,29,3,190,81,109,,0,,,,,/servlet/image?url=images/assc/2025/04/202504231439571745386797034.png,,,"서울특별시 강동구 동남로75길 19, 명일빌딩 405호 (명일동)",02-441-0555
